date,AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,GOOG,GOOGL,JNJ,JPM,LLY,MA,META,MSFT,MU,NFLX,NVDA,ORCL,TSLA,V,WMT,XOM
2014-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02,0.23801858723163605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8993239402770996,0.4542467296123504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4548225402832031,0.0,0.0,0.0
2015-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,-0.16233043869336444,0.0,-0.002288150787353516,0.0,0.8949130773544312,0.0,0.0,-0.4642488807439804,0.0,0.43911904096603394,0.8815599679946899,-0.8784609436988831,0.0,0.0,0.0,0.0,0.0,0.17564761638641357,0.0,0.0,0.9251274168491364,0.0,0.0,0.0
2015-01-06,0.0,0.42344115177790326,0.0,0.0,-0.4951474666595459,0.0,0.0,-0.3608340322971344,-0.8729013204574585,-0.43645066022872925,0.16552668809890747,-0.16504915555318198,0.0,0.0,0.0,0.0,-0.19710005521774293,0.0,0.0,0.3023550113042196,0.0,0.0,0.0,-0.7216680645942688
2015-01-07,-0.35719606280326843,0.0,0.6224025885264078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38531623780727386,0.2983059485753377,0.7191690802574158,0.0,-0.9327422380447388,-0.15225681364536287,0.0,0.0,0.0,0.0,0.7191690802574158,0.5895729660987854,-0.9466429352760316
2015-01-08,0.15177533328533171,0.37297679980595905,-0.5568451285362244,0.0,0.0,0.0,0.1433141827583313,0.0,-0.15712526813149452,-0.3202892492214839,0.0,0.20980320374170938,-0.1661909023920695,0.0,0.0,0.6839625835418701,-0.44985446333885193,0.33289653062820435,0.0,0.0,0.0,0.0,0.21969002485275269,0.0
2015-01-09,0.10693192481994629,-0.32182379563649494,0.0,0.0,0.0,0.0,0.872440755367279,0.0,0.0,0.04402819275856018,0.0,0.0,-0.7526714205741882,0.0,0.0,0.9100485444068908,0.0,-0.9607434272766112,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-10,0.0,-0.9161770939826964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-12,0.26396237015724183,0.40375909209251404,0.210855171084404,0.0,0.0,0.0,0.0,0.0,-0.17930618524551392,-0.1597787340482076,0.4732747375965118,0.0,-0.4870225191116333,0.9391323328018188,0.0,0.11659263372421265,0.0,0.17220879793167115,0.0,0.0,0.1771605478392707,0.0,0.0,0.0
2015-01-13,0.1808311097762164,-0.23446038365364075,0.3565626276863946,0.0,0.0,0.0,-0.630447268486023,0.3166756232579549,-0.6314516464869181,0.0,0.4212069809436798,0.0,0.4038006365299225,0.0,0.0,-0.31189219156901044,0.0,0.0,0.0,0.0,0.03924621939659118,0.7641135454177856,0.7134155035018921,0.3166756232579549
2015-01-14,-0.003365677595138557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029458335638046264,0.015572221190841106,0.0,-0.3267720937728882,0.0,0.0,0.0,0.9315542578697203,0.0,0.28242725133895874,0.0,0.0,0.13231408077737558,0.0,0.0,0.0
2015-01-15,0.0009040649120624249,0.0,0.0,0.4166193306446075,-0.2540808543562889,0.0,0.0,0.0,-0.05660451783074273,-0.039233118295669556,0.18867253065109252,0.36983640988667804,0.0,0.0,0.0,-0.6375133395195007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,0.4311196655035019,0.3567604124546051,0.043073928356170674,0.0,-0.12518862883249918,0.0,0.2621431350708008,0.0,-0.4516598582267761,0.0,0.2613905817270279,0.11995150148868564,0.0,0.4867430627346039,0.0,0.0,0.9273379445075988,0.4744683504104614,0.0,0.0,0.0,0.4867430627346039,-0.7364834547042847,0.0
2015-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40931564569473267,0.0,0.0,0.0
2015-01-18,0.6533643007278442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6533643007278442,0.6533643007278442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-19,0.0,0.0,-0.1750138203303019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5854232311248779
2015-01-20,-0.2779422203699748,0.4776277542114258,-0.2460342844327291,0.0,0.3134307265281677,0.0,0.0,0.0,-0.37048288583755495,-0.4301157146692276,0.1763814151287079,0.0,0.0,-0.8053679466247559,0.0,0.0,0.8011298179626465,0.23836434526102884,0.0,0.0,0.0,-0.8053679466247559,0.0,0.0
2015-01-21,-0.12613228234377774,-0.9357203245162964,-0.1696039080619812,0.0,0.0,0.0,0.0,-0.4297032356262207,0.004373540480931581,0.0,0.2768067419528961,0.0,0.0,0.0,0.0,-0.0013655225435892987,0.0,0.23874531279910693,0.0,0.0,0.0,0.0,-0.8207405924797058,0.4526955485343933
