date,adjclose_AAPL,adjclose_ABBV,adjclose_AMZN,adjclose_AVGO,adjclose_BAC,adjclose_BRK-B,adjclose_COST,adjclose_CVX,adjclose_GOOG,adjclose_GOOGL,adjclose_JNJ,adjclose_JPM,adjclose_LLY,adjclose_MA,adjclose_META,adjclose_MSFT,adjclose_MU,adjclose_NFLX,adjclose_NVDA,adjclose_ORCL,adjclose_TSLA,adjclose_V,adjclose_WMT,adjclose_XOM
2015-01-05,-0.02817169440072842,-0.018819115206590187,-0.020517290123177045,-0.015985752543600684,-0.029050338628695105,-0.014547148860909909,-0.011369291700617179,-0.039971549452084476,-0.020845537995212937,-0.019053977456783278,-0.006984384030790047,-0.031044945000714752,-0.00984837792615123,-0.028128271396092974,-0.01606110795612148,-0.00919599791306569,-0.027913789604006034,-0.05089696262761734,-0.016890469563717203,-0.014023825675952617,-0.04204102817052724,-0.022074103930658007,-0.0029104860629192153,-0.027361937498400435
2015-01-06,9.410010954846726e-05,-0.004949649681860735,-0.022833334564125174,-0.022743576286825773,-0.029919510541531413,-0.0010884602864583703,0.013214418417720086,-0.00046267711286740454,-0.023177048505619524,-0.02467934298594343,-0.0049140315473599205,-0.025929030190550373,0.005045276495506901,-0.0021616508515285293,-0.013473199138929748,-0.01467751844952181,-0.026939073601145336,-0.017120567115699092,-0.03031827827869793,-0.010323371081204846,0.005664237314159992,-0.006443567739951028,0.007705712993682612,-0.00531624666686481
2015-01-07,0.014022190462258832,0.0404166151622849,0.010599740338593344,0.02701338666881803,0.004745216914114225,0.013892730834912603,0.017412487178373404,-0.0008329298662532736,-0.0017134697762970497,-0.0029411505697216622,0.0220759896820224,0.0015260129550773716,-0.007028022773618248,0.0155555055022909,0.0,0.012705418579812777,-0.023425584146846368,0.0051918277343949715,-0.0026056474638466165,0.00023163434771311664,-0.0015619306272327549,0.013397990641327295,0.02653243588160903,0.010132279414717615
2015-01-08,0.038422148917216736,0.010458490849258872,0.0068360190164749035,0.04997434342640905,0.020661180021587455,0.01672481295480166,0.00859201786578545,0.022883236531143547,0.0031532949091896967,0.003484178888830236,0.00786265760669247,0.022346437545763376,0.023689116806172805,0.015554620832207045,0.026657768727702758,0.02941863630815611,0.04890968873792434,0.022188199808052644,0.03761789256241532,0.006025790437291345,-0.0015643062581811584,0.013412622109776784,0.02110613667854766,0.016644899360414245
2015-01-09,0.0010725131241433594,-0.027354601271989076,-0.011748610100441481,0.01069490224338221,-0.01792979008243656,-0.012551984922860249,-0.015388362269797895,-0.01992615995751923,-0.012950688430161339,-0.012211240955022684,-0.013628856634004372,-0.0173868402428371,-0.01326355232760501,-0.012744115749236395,-0.005627976418796532,-0.00840525746361398,-0.0041578610013144335,-0.01545768783672008,0.00402803765380888,-0.000460801790970522,-0.018801629106854012,-0.01482354453224144,-0.012379868092105784,-0.0014099843952739555
2015-01-12,-0.024640604829034185,-0.00030409035848710797,-0.018590241168821242,-0.016587281713947077,-0.01766761588867527,-0.007961480107631314,-0.005582327978584156,-0.021532137754172398,-0.007295911931084809,-0.007309380352248596,-0.0034305174295956586,-0.008594568496658739,-0.007293378799728245,-0.012790097749522777,-0.013120514553720874,-0.012502842008651927,-0.05577103879596179,-0.03176537000434754,-0.012537709463537494,-0.002765463211458652,-0.021532914950603166,-0.0019573122477528626,0.007498680749621789,-0.019217846704316255
2015-01-13,0.00887879890477028,-0.028803727452891947,0.0114272047823194,-0.005622496251261211,-0.013788857222543749,0.0023604404262005385,-0.01003376579273596,-0.01586736002872946,0.007369812699097533,0.009536017060631563,0.0017209639749058425,0.00016979567542874108,-0.00057606136925481,0.00227923277734976,-0.0035195023386008772,-0.0051502576380120235,-0.025900381419516783,0.015556754615403401,-0.001523587566763407,-0.00785762383641786,0.010088497728839352,0.0029229575833886745,-0.007887236990852253,-0.003653071334101532
2015-01-14,-0.0038105538065807965,0.004891095760780173,-0.00498748937494764,0.007896125053047376,-0.024924104704428296,-0.005449758002984639,-0.012615716456965687,-0.0028784852433766384,0.009452254112058078,0.008230217366926862,-0.007254372282456845,-0.0345001254741647,0.005477415663024177,-0.0010774229324336249,-0.0022235004698548666,-0.008628071180982522,-0.02561605600173733,0.0013899247721127495,0.004069141927609321,0.003028176800501825,-0.05659733676235856,-0.020017229513702217,-0.030231515407695086,-0.0028893622311957357
2015-01-15,-0.027140295381483992,-0.012716594283718297,-0.02155010661563239,-0.02002079017946412,-0.052369170134886844,-0.001623633346449882,0.0,-0.011838534002828749,0.0018367758796946632,-0.003794910617227587,-0.014519307675241011,-0.032037082112169823,-0.00028702732628338445,-0.014497762102220424,-0.029234327427208995,-0.010443756188085573,-0.024958429181546893,-0.0014803364378535022,-0.007091982142561681,-0.009986198370448562,-0.004255528597720826,-0.009508365759207438,0.008890281150935486,-0.00869169559497529
2015-01-16,-0.00777032585885018,0.026236647114450395,0.01320786597364454,0.02467416563686564,0.011842172852291721,0.011044889975529992,0.0029428484821887313,0.0238627269190399,0.012535117589452804,0.012797451773368662,0.015123526809745158,0.01709465039676994,0.013478863707960365,0.01884468855518029,0.015259841064306334,0.016710500219291102,-0.010580118453719312,0.04194459828768693,0.018367570037399528,0.0206427733512331,0.006254228739435819,0.007190059615193478,-0.006981170060252895,0.024280433429523685
