date,company,ret_next,pred_ret_lasso,quantile
2016-03-31,AAPL,0.009175233499346,-0.0001095912977128,1
2016-03-31,AMZN,0.0081867811135853,0.0002699002558446,2
2016-03-31,AVGO,0.0097736589497394,0.0017190484989423,4
2016-03-31,COST,-0.0352198577745784,-5.029831831800634e-06,1
2016-03-31,GOOG,0.0066579250423786,0.0008444523917894,3
2016-03-31,GOOGL,0.0088740971025405,0.000870561227941,3
2016-03-31,JNJ,0.0091499427217651,0.0004259632958684,2
2016-03-31,JPM,-0.0072256802779683,0.0015224411605407,4
2016-03-31,LLY,0.0162475543238376,0.0016950610312088,4
2016-03-31,MSFT,0.0061564218463017,8.24188689513305e-07,1
2016-03-31,MU,0.0534863736402231,-0.0043865701343567,1
2016-03-31,NFLX,0.0339430829083791,0.0005886651748892,2
2016-03-31,ORCL,-0.0127108598088307,0.0010518288889645,3
2016-03-31,TSLA,0.0340339957067843,0.0015575246780567,4
2016-03-31,WMT,0.0089066657804315,0.0002074729369522,2
2016-03-31,XOM,-0.0075368680679459,0.0009660105582427,3
2016-04-01,AAPL,0.0102735615946683,0.0027981394369793,4
2016-04-01,AMZN,-0.0088721511030628,-0.0003624901806628,1
2016-04-01,BRK-B,0.0224633920101837,0.0006696120512357,3
2016-04-01,CVX,-0.0088053769177578,0.0012714071061307,3
2016-04-01,GOOG,-0.0161484367042596,0.0013480414847766,4
2016-04-01,GOOGL,-0.0059118337118739,-0.0001655639087785,2
2016-04-01,JNJ,-0.005495217672199,0.0012878478077001,3
2016-04-01,MSFT,-0.0025194953894032,0.001914819095127,4
2016-04-01,MU,-0.0507708262570174,-3.014683807788725e-05,2
2016-04-01,NFLX,-0.0127719280137373,-0.00043763737353,1
2016-04-01,TSLA,0.0395639790703012,-0.00100010637441,1
2016-04-01,XOM,0.0024110421279441,0.0006283188242209,2
2016-04-04,AAPL,-0.0117888551364827,0.0003880350708162,2
2016-04-04,ABBV,-0.0113156615352155,0.0007886060152761,3
2016-04-04,AMZN,-0.0118849243607122,4.9622723839383865e-06,2
2016-04-04,AVGO,0.0180117389166984,0.0008363113298564,3
2016-04-04,CVX,-0.0081345157400509,0.0013528649003355,4
2016-04-04,GOOGL,-0.0085608081899998,0.0013555916203816,4
2016-04-04,JNJ,0.0033152011686083,-0.0001815855660313,1
