date,company,ret_next,pred_ret_ols,quantile
2016-03-31,AAPL,0.009175233499346,0.0030597254613944,4
2016-03-31,AMZN,0.0081867811135853,-0.0006669435707396,1
2016-03-31,AVGO,0.0097736589497394,0.0030934252454044,4
2016-03-31,COST,-0.0352198577745784,-4.317929757271925e-06,2
2016-03-31,GOOG,0.0066579250423786,0.0021924147555548,4
2016-03-31,GOOGL,0.0088740971025405,0.0016033475504254,3
2016-03-31,JNJ,0.0091499427217651,-0.0001946626300482,2
2016-03-31,JPM,-0.0072256802779683,0.0016069829782533,3
2016-03-31,LLY,0.0162475543238376,0.001617999526699,3
2016-03-31,MSFT,0.0061564218463017,-0.0003006103439152,2
2016-03-31,MU,0.0534863736402231,-0.0027532625661788,1
2016-03-31,NFLX,0.0339430829083791,-0.0003533683310121,1
2016-03-31,ORCL,-0.0127108598088307,0.0016993497596256,3
2016-03-31,TSLA,0.0340339957067843,0.0067546669473455,4
2016-03-31,WMT,0.0089066657804315,-0.0010112798987244,1
2016-03-31,XOM,-0.0075368680679459,-0.000108300140214,2
2016-04-01,AAPL,0.0102735615946683,0.0066100620951358,4
2016-04-01,AMZN,-0.0088721511030628,-0.0010369138673652,1
2016-04-01,BRK-B,0.0224633920101837,0.0009905116173998,2
2016-04-01,CVX,-0.0088053769177578,0.0018786098617578,3
2016-04-01,GOOG,-0.0161484367042596,0.0032519276497689,4
2016-04-01,GOOGL,-0.0059118337118739,-0.0004332937363912,2
2016-04-01,JNJ,-0.005495217672199,0.0025934519072989,3
2016-04-01,MSFT,-0.0025194953894032,0.0038328337723867,4
2016-04-01,MU,-0.0507708262570174,-0.0009851169475473,1
2016-04-01,NFLX,-0.0127719280137373,-0.003137247086272,1
2016-04-01,TSLA,0.0395639790703012,0.0013265487488356,3
2016-04-01,XOM,0.0024110421279441,-0.0008402875395259,2
2016-04-04,AAPL,-0.0117888551364827,0.004691263590618,4
2016-04-04,ABBV,-0.0113156615352155,0.0027458593854502,4
2016-04-04,AMZN,-0.0118849243607122,-0.0011631371578734,1
2016-04-04,AVGO,0.0180117389166984,-0.0009605929646382,2
2016-04-04,CVX,-0.0081345157400509,0.0006634348445299,3
2016-04-04,GOOGL,-0.0085608081899998,0.0024918822989698,4
2016-04-04,JNJ,0.0033152011686083,0.0001617014432879,2
2016-04-04,LLY,0.0215908264705448,-0.002555406195807,1
2016-04-04,MA,-0.0073645549705613,0.0005354512593176,3
2016-04-04,MSFT,-0.01569538327924,0.0014851197527839,3
2016-04-04,NFLX,0.005654050108889,-0.0031908481768313,1
2016-04-04,NVDA,0.0,0.0054758197162851,4
2016-04-04,TSLA,0.0343334345736312,-0.0017017222254503,1
2016-04-04,V,-0.011049936962353,-0.0009060134771742,2
2016-04-04,WMT,-0.006657223083594,-0.0007376007360199,2
2016-04-04,XOM,-0.0114240000090771,0.0003388901432294,3
2016-04-05,AAPL,0.0104728540983518,0.0027640329956971,3
2016-04-05,ABBV,0.0230610835409716,0.000891125219712,2
2016-04-05,AMZN,0.027194899054415,0.0055319663014799,4
2016-04-05,CVX,0.0234164766266522,0.0001922448200734,1
2016-04-05,GOOG,0.0106938831255416,0.0045596517805372,4
2016-04-05,GOOGL,0.0125234947990742,0.0055166265890461,4
2016-04-05,JNJ,0.0043139598808736,-0.0022750082263408,1
2016-04-05,JPM,-0.0178205458584259,0.0002066095310169,1
2016-04-05,MA,-0.0031860795420408,0.0057053291030214,4
2016-04-05,MSFT,-0.001832704380826,0.002415057361962,2
2016-04-05,NFLX,-0.0046694051858833,0.0045187597590367,3
2016-04-05,TSLA,0.0389478531633527,0.0010587128147044,2
2016-04-05,V,0.0201376848291825,0.0029186863053034,3
2016-04-05,WMT,0.0058274354716814,0.0005247688625198,2
2016-04-05,XOM,0.0019463156335444,-0.0010183780519819,1
2016-04-06,AAPL,-0.021809869422063,0.0034927821893001,3
2016-04-06,ABBV,-0.0232087309466536,0.0003992298572046,1
2016-04-06,AMZN,-0.017688656382376,0.0053436693823725,4
2016-04-06,BAC,-0.022607774920316,0.0002392227024908,1
2016-04-06,CVX,0.0157106924313739,0.001878470342764,2
2016-04-06,GOOG,-0.0072550745704853,0.0038598984269001,3
2016-04-06,GOOGL,-0.0103504133615337,0.004121959240442,4
2016-04-06,JNJ,0.0038384572585388,0.0028351177173273,2
2016-04-06,LLY,-0.0049491901703182,-0.0005828533895094,1
2016-04-06,MU,-0.0019102342982377,0.004615243978004,4
2016-04-06,NVDA,-0.0039103997753981,0.0037914146116558,3
2016-04-06,TSLA,-0.030969800698537,-0.0011271937657231,1
2016-04-06,WMT,-0.0118770597034404,0.0015298709472851,2
2016-04-07,AAPL,0.0011058222722013,0.0020306179324022,3
2016-04-07,AMZN,0.0053598484982861,0.0060055730355743,4
2016-04-07,COST,-0.0041441054464259,0.0047260327873831,4
2016-04-07,GOOG,-0.0015262908244352,0.0051306204873193,4
2016-04-07,GOOGL,-0.0008551440609081,0.0041849510235027,3
2016-04-07,JPM,0.0153523075803971,0.0010891285501276,2
2016-04-07,MSFT,-0.0007345391918893,0.0009194840277596,2
2016-04-07,NFLX,-0.0061273462488873,0.0009228875599926,2
2016-04-07,TSLA,-0.0277216647504191,-0.0007669585300866,1
2016-04-07,WMT,0.0085017726095,-0.0012931277544546,1
2016-04-07,XOM,0.0101976635885046,-0.0027257665971623,1
2016-04-08,AAPL,0.0033125622607079,0.0040393866458496,4
2016-04-08,AMZN,0.0022367881300682,0.005282229235274,4
2016-04-08,CVX,0.0122496162152356,-0.0014870009833393,1
2016-04-08,GOOG,0.0053303592687747,0.002372095065533,3
2016-04-08,GOOGL,-0.0025413945166812,0.0017532966941119,2
2016-04-08,LLY,0.0380425217819029,0.0012166447984454,2
2016-04-08,MSFT,-0.0020214477083644,0.0021152939087732,3
2016-04-08,NFLX,-0.0108852635401593,0.0009663920736556,2
2016-04-08,NVDA,0.0302860330496126,0.003483395363327,4
2016-04-08,TSLA,-0.0005998457768247,0.000317568587733,1
2016-04-08,XOM,0.0013221353091203,-0.0015742488008605,1
2016-04-11,AAPL,0.0130253526053292,0.0076768384508099,4
2016-04-11,ABBV,0.0237601744425359,0.0042582155776173,4
2016-04-11,AMZN,0.0121491258419963,0.0034833149017583,3
2016-04-11,BAC,0.0231307087781191,0.0009177212842397,2
2016-04-11,GOOGL,0.018969245524524,0.0038154915293747,4
2016-04-11,JPM,0.0185568605001795,0.0013252147132348,2
2016-04-11,MSFT,0.0062603895452835,0.0001072616997764,1
2016-04-11,MU,-0.0267939026759383,0.0031091274154816,3
2016-04-11,NFLX,0.0418777093760081,0.0027944186880288,3
2016-04-11,ORCL,0.0044732048709401,0.0008911400673816,1
2016-04-11,TSLA,-0.0084026523533092,0.0019066315394338,2
2016-04-11,XOM,0.0346855122934606,-0.0017901635623567,1
2016-04-12,AAPL,0.0144877660508198,0.0062235989421385,4
2016-04-12,ABBV,-0.0006743107166388,0.0045941704485267,4
2016-04-12,AMZN,0.0193145725897341,0.0011268350890974,2
2016-04-12,BAC,0.0391858357610404,-0.0006030487811537,1
2016-04-12,CVX,0.0122037596599982,-0.000252977427303,1
2016-04-12,GOOG,0.0316516186452546,8.6716734638868e-05,1
2016-04-12,JPM,0.0423414884018471,0.0015814044602179,3
2016-04-12,MA,0.0300448386089913,0.0032610529293764,3
2016-04-12,MSFT,0.0128085175924046,0.0001241603146651,2
2016-04-12,MU,0.0698131092891183,0.0050192556217074,4
2016-04-12,NFLX,0.0249579547117915,0.0015314707248522,2
2016-04-12,ORCL,0.0202869297369223,-0.0031025757377293,1
2016-04-12,TSLA,0.0270760454618868,0.0071685911537594,4
2016-04-12,V,0.0151554536453175,0.0043820490719459,3
2016-04-12,WMT,0.0050870245116403,0.0003877747124805,2
2016-04-13,AAPL,0.0005351877287465,0.0019084635976994,3
2016-04-13,AMZN,0.0096451373466639,0.0023983143494754,4
2016-04-13,BAC,0.0253807386837685,-0.0040146130717854,1
2016-04-13,GOOGL,0.0045083825121394,0.0014106236036651,3
2016-04-13,JPM,0.0129468400498768,0.0001184274112851,1
2016-04-13,MSFT,0.0001808583557927,0.0010566113370251,2
