date,OLS_IC,OLS_RankIC,Ridge_IC,Ridge_RankIC,Lasso_IC,Lasso_RankIC
2016-03-31,-0.015213215995889307,0.0,-0.015262797511103694,0.0,-0.4389472232056149,0.0411764705882353
2016-04-01,0.29862201503660857,0.37762237762237766,0.29891391636743436,0.37762237762237766,-0.013669752073065377,0.0979020979020979
2016-04-04,-0.48257583418168015,-0.5205882352941177,-0.4822973489036001,-0.5205882352941177,-0.5563982777091541,-0.411764705882353
2016-04-05,0.05515117557817134,0.09285714285714285,0.05518180448206024,0.09285714285714285,-0.1717663978615834,-0.11785714285714284
2016-04-06,0.3123419312327777,0.3681318681318681,0.31239770277147183,0.3681318681318681,0.5129174838280351,0.3626373626373627
2016-04-07,-0.008107328461028462,-0.19090909090909092,-0.008482915560650941,-0.19090909090909092,0.2485901084716655,0.14545454545454548
2016-04-08,0.06674891865368743,0.19090909090909092,0.06672699152350545,0.19090909090909092,0.391796791498876,0.28181818181818186
2016-04-11,-0.12680743515526843,0.02097902097902098,-0.12678132321979596,0.02097902097902098,0.22829160084498512,0.39860139860139865
2016-04-12,0.1072413162182779,0.04642857142857142,0.10747953673613878,0.04642857142857142,0.05948245519117081,0.028571428571428564
2016-04-13,-0.18911710925745187,0.02097902097902098,-0.18951638270278068,0.02097902097902098,-0.18469440626840647,-0.1398601398601399
2016-04-14,0.44022874031129866,0.3758241758241759,0.4404531407197614,0.3758241758241759,0.36889598778513144,0.2351648351648352
2016-04-15,0.4094504802408468,0.3186813186813187,0.4093672545318119,0.3186813186813187,0.49083260197968365,0.1043956043956044
2016-04-18,0.3183655881003873,0.21568627450980393,0.31839218817627996,0.21568627450980393,0.5510787531471106,0.08333333333333334
2016-04-19,-0.26219797212523005,-0.4382352941176471,-0.26230308723995605,-0.4382352941176471,-0.3651058709703592,-0.36470588235294116
2016-04-20,-0.041736465982501865,-0.049999999999999996,-0.041942485448065815,-0.049999999999999996,-0.2759531869471998,-0.3029411764705882
2016-04-21,0.10269773298521122,0.16083916083916086,0.1030068227072137,0.16083916083916086,0.730145962292566,0.5104895104895105
2016-04-22,-0.5991895447462128,-0.4424242424242424,-0.5994380473843335,-0.4424242424242424,-0.6770740267768995,-0.6606060606060605
2016-04-25,-0.3599971520638978,-0.3186274509803922,-0.3603535465478892,-0.3186274509803922,-0.4921717183328234,-0.45098039215686275
2016-04-26,0.4796168609623644,0.10357142857142855,0.47944018738195066,0.08214285714285713,0.21280894470191286,-0.25
