date,Q1,Q2,Q3,Q4,long_short,long_only_top,short_only_bottom
2016-03-31,0.008399542802823179,0.015046618131040246,-0.0011789264329643556,0.013207382175598248,0.004807839372775069,0.013207382175598248,-0.008399542802823068
2016-04-01,0.014423015776217518,-0.00331612258561087,0.0015387982612293793,0.010372302789498855,-0.004005755706572578,0.010372302789498855,-0.014322669798429555
2016-04-04,0.030880383894633434,-0.013627051404338064,-0.0025584621260130724,0.003269556269183793,-0.027165818096863803,0.003269556269183793,-0.030313685791586886
2016-04-05,0.050672192131167026,-0.007873787257212883,0.00014945015971856712,0.0139934772052972,-0.035444602870095765,0.0139934772052972,-0.04893063289838673
2016-04-06,0.0350069075689905,-0.02431890944600623,-0.009679534442585624,0.014622319898039304,-0.020465117274915068,0.014622319898039304,-0.034750403912031325
2016-04-07,0.023710432066194276,-0.018476239345134093,-0.0025011155796444973,0.014517290330889665,-0.009875482890294829,0.014517290330889665,-0.024215287347541192
2016-04-08,0.028136923812036807,-0.018225127273424846,0.011043551820382858,0.026635829032860103,-0.0023295862869318062,0.026635829032860103,-0.028434549788344365
2016-04-11,0.032986988107049475,-0.013438185088798349,0.03704676426424225,0.04571577808699101,0.011505699099451538,0.04571577808699101,-0.03301774760101317
2016-04-12,0.0566413198775686,0.00478863262272311,0.06730840438670782,0.07465664459736376,0.016337346842460798,0.07465664459736376,-0.05516063931000237
2016-04-13,0.05460192687970955,0.0029644981254441927,0.07330251825126677,0.08006398238210144,0.02341284353040929,0.08006398238210144,-0.053337032055540634
2016-04-14,0.050683592163606406,0.0034364483190905126,0.0900567831446073,0.08423527051322277,0.03116779353578858,0.08423527051322277,-0.04981974057597638
2016-04-15,0.04537389445885198,0.01424220840613355,0.09397975727229602,0.09037481407131587,0.042217912853433015,0.09037481407131587,-0.04501794298420314
2016-04-18,0.01563427374425963,0.01676867635608925,0.08684898839816135,0.08866710790813825,0.07023546517393298,0.08866710790813825,-0.017849860525445127
2016-04-19,0.042509323071991734,0.02830944881737274,0.09166946662309838,0.09243565330590009,0.04562033702359525,0.09243565330590009,-0.04383887461051361
2016-04-20,0.040358368277508605,0.02961377022643652,0.09069888182195562,0.0831173264516698,0.03885871200685176,0.0831173264516698,-0.04186607752233562
2016-04-21,-0.004234089825499998,0.013870485950732148,0.06859289110829292,0.08685395250001537,0.08697083004097705,0.08685395250001537,-0.0007979724366851126
2016-04-22,0.00043552132151636336,0.014671522611814147,0.06298240704210278,0.07577974767893503,0.07079812073971681,0.07577974767893503,-0.005483697142016131
2016-04-25,-0.0025242661784788956,0.012360560203496851,0.05956403674820887,0.05102837679081196,0.04932932151984737,0.05102837679081196,-0.0025414216439887394
2016-04-26,-0.016703421661390938,0.014377012339734874,0.05898188671353588,0.043493373529563506,0.0567227552818097,0.043493373529563506,0.011637489973328696
2016-04-27,-0.04226708509576382,0.004586296220325581,0.04478709267045122,0.03109018471614,0.07163491029765678,0.03109018471614,0.037937958093503976
2016-04-28,-0.06378701994065306,-0.0008125424285913008,0.04359857588399785,0.05953194130299799,0.1252743332582622,0.05953194130299799,0.061260073146261584
2016-04-29,-0.0051123695947646874,0.011862312165240141,0.06132441316951609,0.06496067535490568,0.06051634607085732,0.06496067535490568,-0.005251570084706558
2016-05-02,-0.026773995316978216,-0.006086050572095103,0.05058134179611029,0.06097845808725122,0.0796413031399823,0.06097845808725122,0.01640702483400558
2016-05-03,-0.02883903500568674,0.002487979405980223,0.04380978330007901,0.04478607463459938,0.06545492909118567,0.04478607463459938,0.018563688174344506
2016-05-04,-0.03963873675676921,0.00900636158957413,0.021518009657112813,0.053707119322496055,0.08640074621378457,0.053707119322496055,0.02989052733208397
2016-05-05,-0.030481921237698995,0.02391342427728449,0.035433658979756144,0.05523466512411379,0.07761711563194851,0.05523466512411379,0.02007076686843301
2016-05-06,-0.02594425933093325,0.03090496231206119,0.028759600135171315,0.04335513340072139,0.06044200786956733,0.04335513340072139,0.015296501836745025
2016-05-09,-0.015973086381993462,0.015287997698956612,0.052134957718273034,0.0463229429049663,0.052602932490621646,0.0463229429049663,0.004903157193743457
2016-05-10,-0.030763964986074477,0.001346697935522334,0.05023061603557655,0.043022420941791095,0.06510424358070721,0.043022420941791095,0.020007825979947214
2016-05-11,-0.033954540308537506,0.0069865592266655785,0.04659469327855481,0.040985658565738214,0.06653051957581968,0.040985658565738214,0.023365534196237325
2016-05-12,-0.03790787436198717,0.002356973131090845,0.11968792892172742,0.041611528834416545,0.07153629577405374,0.041611528834416545,0.027553438372875938
2016-05-13,-0.02014800114773152,0.01515993507990876,0.1337270039795868,0.04676401361665272,0.05705663474859879,0.04676401361665272,0.00858517296453698
2016-05-16,-0.005085268876352966,0.005127598040049586,0.11288615704557903,0.03470205032360574,0.028626511401939947,0.03470205032360574,-0.00691925877723798
2016-05-17,-0.0010916442494953715,0.01575441539462985,0.12910672218663888,0.03437937020041981,0.024176781021150173,0.03437937020041981,-0.010905521700620535
2016-05-18,-0.007742074764300555,0.013001816072028216,0.13230456847032723,0.047599246221003755,0.04408492301274203,0.047599246221003755,-0.0043204290215573815
2016-05-19,0.003506894713280362,0.0317997700233672,0.14005853528236534,0.06061347431480035,0.04521897435261235,0.06061347431480035,-0.015608188805110501
2016-05-20,-0.00013137171274391068,0.04074571542347849,0.17847412993405531,0.06246360108312432,0.05083174280192204,0.06246360108312432,-0.012039225108307017
2016-05-23,0.018497726719255647,0.05150510192320534,0.20367800380059786,0.08251332471852124,0.05108334188610297,0.08251332471852124,-0.030446461820932802
