date,company,ret_next,pred_ret_ridge,quantile
2016-03-31,AAPL,0.009175233499346,0.0030507532503025,4
2016-03-31,AMZN,0.0081867811135853,-0.000668156706776,1
2016-03-31,AVGO,0.0097736589497394,0.0030928899697589,4
2016-03-31,COST,-0.0352198577745784,-4.127835037323071e-06,2
2016-03-31,GOOG,0.0066579250423786,0.0021892825738098,4
2016-03-31,GOOGL,0.0088740971025405,0.0016011139418863,3
2016-03-31,JNJ,0.0091499427217651,-0.0001961730260037,2
2016-03-31,JPM,-0.0072256802779683,0.0016084162020384,3
2016-03-31,LLY,0.0162475543238376,0.0016183681994566,3
2016-03-31,MSFT,0.0061564218463017,-0.0003024603015606,2
2016-03-31,MU,0.0534863736402231,-0.0027573018150499,1
2016-03-31,NFLX,0.0339430829083791,-0.0003504321105692,1
2016-03-31,ORCL,-0.0127108598088307,0.0016945864379572,3
2016-03-31,TSLA,0.0340339957067843,0.0067541981519997,4
2016-03-31,WMT,0.0089066657804315,-0.0010145947417591,1
2016-03-31,XOM,-0.0075368680679459,-0.0001084585822109,2
2016-04-01,AAPL,0.0102735615946683,0.0066003743200435,4
2016-04-01,AMZN,-0.0088721511030628,-0.0010386518350578,1
2016-04-01,BRK-B,0.0224633920101837,0.000985287387229,2
2016-04-01,CVX,-0.0088053769177578,0.0018765610607045,3
2016-04-01,GOOG,-0.0161484367042596,0.003247093883079,4
2016-04-01,GOOGL,-0.0059118337118739,-0.0004365610384412,2
2016-04-01,JNJ,-0.005495217672199,0.0025879286210746,3
2016-04-01,MSFT,-0.0025194953894032,0.0038283169101037,4
2016-04-01,MU,-0.0507708262570174,-0.0009875706880412,1
2016-04-01,NFLX,-0.0127719280137373,-0.0031327135619903,1
2016-04-01,TSLA,0.0395639790703012,0.0013278127181353,3
2016-04-01,XOM,0.0024110421279441,-0.0008401782195951,2
2016-04-04,AAPL,-0.0117888551364827,0.0046817669966478,4
2016-04-04,ABBV,-0.0113156615352155,0.0027431716242936,4
2016-04-04,AMZN,-0.0118849243607122,-0.0011644009823957,1
2016-04-04,AVGO,0.0180117389166984,-0.0009611513456398,2
2016-04-04,CVX,-0.0081345157400509,0.0006625507690622,3
2016-04-04,GOOGL,-0.0085608081899998,0.0024878817910151,4
2016-04-04,JNJ,0.0033152011686083,0.0001581798421434,2
2016-04-04,LLY,0.0215908264705448,-0.0025536322828083,1
2016-04-04,MA,-0.0073645549705613,0.0005337629280562,3
2016-04-04,MSFT,-0.01569538327924,0.0014810397952249,3
2016-04-04,NFLX,0.005654050108889,-0.0031873402478161,1
