date,IC,RankIC,IC_cumsum,RankIC_cumsum
2016-03-31,-0.015262797511103694,0.0,-0.015262797511103694,0.0
2016-04-01,0.29891391636743436,0.37762237762237766,0.28365111885633065,0.37762237762237766
2016-04-04,-0.4822973489036001,-0.5205882352941177,-0.19864623004726945,-0.14296585767174003
2016-04-05,0.05518180448206024,0.09285714285714285,-0.14346442556520922,-0.05010871481459718
2016-04-06,0.31239770277147183,0.3681318681318681,0.1689332772062626,0.31802315331727093
2016-04-07,-0.008482915560650941,-0.19090909090909092,0.16045036164561166,0.12711406240818002
2016-04-08,0.06672699152350545,0.19090909090909092,0.2271773531691171,0.31802315331727093
2016-04-11,-0.12678132321979596,0.02097902097902098,0.10039602994932115,0.3390021742962919
2016-04-12,0.10747953673613878,0.04642857142857142,0.20787556668545992,0.38543074572486336
2016-04-13,-0.18951638270278068,0.02097902097902098,0.018359183982679245,0.40640976670388435
2016-04-14,0.4404531407197614,0.3758241758241759,0.4588123247024406,0.7822339425280602
2016-04-15,0.4093672545318119,0.3186813186813187,0.8681795792342525,1.1009152612093789
2016-04-18,0.31839218817627996,0.21568627450980393,1.1865717674105325,1.3166015357191827
2016-04-19,-0.26230308723995605,-0.4382352941176471,0.9242686801705764,0.8783662416015356
2016-04-20,-0.041942485448065815,-0.049999999999999996,0.8823261947225106,0.8283662416015356
2016-04-21,0.1030068227072137,0.16083916083916086,0.9853330174297243,0.9892054024406964
2016-04-22,-0.5994380473843335,-0.4424242424242424,0.38589497004539086,0.546781160016454
2016-04-25,-0.3603535465478892,-0.3186274509803922,0.02554142349750166,0.22815370903606186
2016-04-26,0.47944018738195066,0.08214285714285713,0.5049816108794523,0.310296566178919
2016-04-27,0.609104422926432,0.6835164835164835,1.1140860338058842,0.9938130496954025
2016-04-28,0.4110688734975338,0.5142857142857142,1.525154907303418,1.5080987639811168
2016-04-29,0.11307611331224657,-0.31468531468531474,1.6382310206156647,1.193413449295802
2016-05-02,0.32447477495914606,0.25263157894736843,1.9627057955748108,1.4460450282431703
2016-05-03,-0.024975439226989405,-0.232843137254902,1.9377303563478214,1.2132018909882683
2016-05-04,0.4069578279410227,0.42857142857142855,2.3446881842888443,1.6417733195596969
2016-05-05,0.02238571923591643,0.034965034965034975,2.3670739035247608,1.6767383545247319
2016-05-06,-0.11205136458795123,-0.09523809523809526,2.2550225389368097,1.5815002592866365
2016-05-09,0.21502219369915412,0.2333333333333333,2.470044732635964,1.81483359261997
2016-05-10,0.49796151670143346,0.4450549450549451,2.9680062493373973,2.259888537674915
2016-05-11,0.5546325186992294,0.33516483516483514,3.522638768036627,2.5950533728397502
2016-05-12,-0.18669613207303956,-0.5181818181818182,3.3359426359635873,2.076871554657932
2016-05-13,-0.3868785176294572,0.07692307692307693,2.94906411833413,2.1537946315810093
2016-05-16,-0.45620761381555225,-0.27941176470588236,2.4928565045185778,1.874382866875127
2016-05-17,-0.5963454491750635,-0.7176470588235294,1.8965110553435143,1.1567358080515975
2016-05-18,0.41242683481241427,0.044117647058823525,2.3089378901559288,1.200853455110421
2016-05-19,-0.3794716449061386,-0.4535714285714285,1.9294662452497902,0.7472820265389926
2016-05-20,0.04349200070397046,-0.0303030303030303,1.9729582459537607,0.7169789962359623
2016-05-23,0.08745488478339383,0.21428571428571427,2.0604131307371545,0.9312647105216766
2016-05-24,-0.16707817997555083,-0.2642857142857143,1.8933349507616037,0.6669789962359622
