date,IC,RankIC,IC_cumsum,RankIC_cumsum
2016-03-31,-0.4389472232056149,0.0411764705882353,-0.4389472232056149,0.0411764705882353
2016-04-01,-0.013669752073065377,0.0979020979020979,-0.4526169752786803,0.1390785684903332
2016-04-04,-0.5563982777091541,-0.411764705882353,-1.0090152529878345,-0.27268613739201975
2016-04-05,-0.1717663978615834,-0.11785714285714284,-1.1807816508494178,-0.39054328024916257
2016-04-06,0.5129174838280351,0.3626373626373627,-0.6678641670213826,-0.02790591761179989
2016-04-07,0.2485901084716655,0.14545454545454548,-0.4192740585497171,0.11754862784274558
2016-04-08,0.391796791498876,0.28181818181818186,-0.027477267050841137,0.3993668096609274
2016-04-11,0.22829160084498512,0.39860139860139865,0.20081433379414398,0.7979682082623261
2016-04-12,0.05948245519117081,0.028571428571428564,0.2602967889853148,0.8265396368337546
2016-04-13,-0.18469440626840647,-0.1398601398601399,0.0756023827169083,0.6866794969736147
2016-04-14,0.36889598778513144,0.2351648351648352,0.4444983705020398,0.92184433213845
2016-04-15,0.49083260197968365,0.1043956043956044,0.9353309724817234,1.0262399365340544
2016-04-18,0.5510787531471106,0.08333333333333334,1.486409725628834,1.1095732698673877
2016-04-19,-0.3651058709703592,-0.36470588235294116,1.1213038546584748,0.7448673875144465
2016-04-20,-0.2759531869471998,-0.3029411764705882,0.845350667711275,0.44192621104385826
2016-04-21,0.730145962292566,0.5104895104895105,1.5754966300038409,0.9524157215333688
2016-04-22,-0.6770740267768995,-0.6606060606060605,0.8984226032269413,0.2918096609273083
2016-04-25,-0.4921717183328234,-0.45098039215686275,0.4062508848941179,-0.15917073122955444
2016-04-26,0.21280894470191286,-0.25,0.6190598295960308,-0.40917073122955444
2016-04-27,0.4111724762769896,0.4153846153846154,1.0302323058730205,0.006213884155060967
2016-04-28,0.5810091093104384,0.48214285714285704,1.6112414151834589,0.488356741297918
2016-04-29,-0.23645123982711025,0.04195804195804196,1.3747901753563485,0.5303147832559599
2016-05-02,0.35524553847311324,0.45789473684210524,1.7300357138294618,0.9882095200980652
2016-05-03,-0.2372065122064076,-0.2720588235294118,1.4928292016230542,0.7161506965686534
2016-05-04,0.21355283812288783,0.3428571428571428,1.7063820397459422,1.0590078394257962
2016-05-05,-0.21235805183174358,-0.0979020979020979,1.4940239879141985,0.9611057415236983
2016-05-06,-0.5434242577533147,-0.5000000000000001,0.9505997301608838,0.4611057415236982
2016-05-09,0.1885233387136669,0.06666666666666667,1.1391230688745506,0.5277724081903649
