date,OLS,Ridge,Lasso
2016-03-31,-0.011220522561092674,-0.011220522561092674,0.004807839372775152
2016-04-01,0.02134017829160767,0.02134017829160767,-0.008771423484165201
2016-04-04,-0.0203396779135127,-0.0203396779135127,-0.023253209065200273
2016-04-05,0.008842497788586425,0.008842497788586425,-0.00850996493260165
2016-04-06,0.010450772836573736,0.010450772836573736,0.015529938083134543
2016-04-07,0.0029038935932798327,0.0029038935932798327,0.0108108803181767
2016-04-08,0.0076211592309525,0.0076211592309525,0.0076211592309525
2016-04-11,0.003445221954234967,0.003445221954234967,0.013867591136527767
2016-04-12,0.0018436165704926524,0.0018436165704926524,0.004776688601271176
2016-04-13,0.0006545986413650021,0.0006545986413650021,0.006961760000191402
2016-04-14,0.019627956847353002,0.019627956847353002,0.00757753828711725
2016-04-15,0.007980259127915217,0.007980259127915217,0.010716121456581216
2016-04-18,0.031193731477894622,0.031193731477894622,0.026882624041446652
2016-04-19,-0.006288568826134125,-0.006288568826134125,-0.022999731322057498
2016-04-20,-0.00011686570729317527,-0.00011686570729317527,-0.006466615823474449
2016-04-21,0.028211517448077594,0.028211517448077594,0.04631247490930023
2016-04-22,-0.015423350260689132,-0.015423350260689132,-0.0148786966993867
2016-04-25,-0.012786565032098147,-0.012786565032098147,-0.020049343386070485
2016-04-26,0.012440625650751026,0.012440625650751026,0.00704586597394755
2016-04-27,0.019151752299210123,0.019151752299210123,0.014111700482753571
2016-04-28,0.03730072182352648,0.03730072182352648,0.05005382191749112
2016-04-29,0.04816716319362377,0.04816716319362377,-0.057548621943501105
2016-05-02,0.007202910908861342,0.007202910908861342,0.01803362780779544
2016-05-03,-0.008589141384066466,-0.008589141384066466,-0.013139895637132172
2016-05-04,0.02214534178656885,0.02214534178656885,0.01965903629585285
2016-05-05,0.0043750648785169325,0.0043750648785169325,-0.008085074142712001
2016-05-06,-0.0153024804664736,-0.0153024804664736,-0.0159380428477225
2016-05-09,-0.00029321771007616727,-0.00029321771007616727,-0.00739227163840335
2016-05-10,0.013536998400559608,0.013536998400559608,0.011876568746113576
2016-05-11,0.008409445386446175,0.008409445386446175,0.0013390952141150673
2016-05-12,-0.0100410627016847,-0.0100410627016847,0.004693514256136866
2016-05-13,-0.004997399188760099,-0.004997399188760099,-0.013512991657454967
2016-05-16,-0.027615708406436575,-0.027615708406436575,-0.02689555357024015
2016-05-17,-0.03409047279514393,-0.03409047279514393,-0.0043258950955144745
2016-05-18,0.0160984069377796,0.0160984069377796,0.019438189149086772
2016-05-19,-0.009660745593675949,-0.009660745593675949,0.0010861677195738995
2016-05-20,0.0053699450421726665,0.0053699450421726665,0.0053699450421726665
2016-05-23,0.002511111185544767,0.002511111185544767,0.00023942851546339405
2016-05-24,0.0012047524128171744,0.0012047524128171744,0.0013988854296835985
2016-05-25,-0.009998121131210798,-0.009998121131210798,0.0062639494936357005
2016-05-26,0.0039676439548227,0.0039676439548227,0.007420805989208799
2016-05-27,0.0103696660635688,0.0103696660635688,0.011198340751571667
2016-05-31,0.014681875080356826,0.014681875080356826,-0.0016372312892812
2016-06-01,0.00046866455903612526,0.00046866455903612526,0.0041192801578364
2016-06-02,-0.00383443071984752,-0.00383443071984752,-0.00515260531801664
2016-06-03,-0.0010900982584701006,-0.0010900982584701006,-0.001352036058010351
2016-06-06,-0.00771539982148331,-0.00771539982148331,0.006360158961551786
2016-06-07,-0.0082458791793317,-0.0082458791793317,-0.0056875587290786
2016-06-08,0.005354414326784471,0.005354414326784471,0.011833163308747298
2016-06-09,0.009807854939826673,0.0025379308244311075,0.0030434752868245714
2016-06-10,0.009401204559543843,0.009401204559543843,0.025606299734374435
2016-06-13,0.0037400395450865997,0.0037400395450865997,0.0011569246829401
2016-06-14,0.006406415253984081,0.006406415253984081,0.0015433254290439804
2016-06-15,0.0005628957741543,0.0005628957741543,0.0005628957741543
2016-06-16,-0.024853853622715874,-0.024853853622715874,0.0007739577981169489
2016-06-17,0.0007824947013305673,0.0007824947013305673,0.000374242720877534
2016-06-20,0.004028871749416533,0.004028871749416533,-0.0008330291005757507
2016-06-21,0.010045775221423402,0.010045775221423402,0.028053106791845923
2016-06-22,0.001866941051200434,0.001866941051200434,0.04697981435435623
2016-06-23,0.0121115468480439,0.0121115468480439,-0.015942094605590554
2016-06-24,0.0332148513405397,0.0332148513405397,0.03197078787609168
2016-06-27,0.010905198966666925,0.010905198966666925,0.009124230144518627
2016-06-28,0.0027271013892559634,0.0027271013892559634,0.0011470856045339393
2016-06-29,-0.013367842872787918,-0.013367842872787918,-0.009917151533720437
2016-06-30,-0.03059161077088516,-0.03059161077088516,0.02280501370578048
2016-07-01,-0.004315766010360442,-0.004315766010360442,0.010389858269192268
2016-07-05,0.02248276359552385,0.02248276359552385,0.03025115299640205
2016-07-06,-0.026518899061076375,-0.026518899061076375,-0.004784499348254576
2016-07-07,0.020903151417574074,0.020903151417574074,0.019921889220914146
2016-07-08,0.005246019853754342,0.005246019853754342,0.007820966700218708
