date,const,liquidity_alpha,size_alpha,signal_2,sentiment_change_alpha,sentiment_exp_decay_alpha,sent_macd_alpha,signal1,signal2,signal3,signal4,signal5,signal6,signal7,signal8,train_start,train_end,n_train
2016-03-31,0.0009444521096351563,0.0006122443433324914,0.0007857252495365098,0.0022149948725373827,0.0006224713221504802,0.0004449407107441089,-0.00044488331792010005,0.0031708483515369796,-0.0006052214714269772,0.0007423143045896431,0.002487857740459466,0.00019834649642093982,0.0008665606335159043,-0.0005313510295137586,0.0012300167298673387,2015-03-31,2016-03-30,3379
2016-04-01,0.000996440827582044,0.000695855508472621,0.0008404572356651354,0.0021505730113689624,0.0006167848000796137,0.0004862296815375902,-0.00039073515043471413,0.003193039283106515,-0.0006057475394492509,0.0007833902885656692,0.0025111769391652156,0.00023194211462696787,0.0008684123847322087,-0.0005561042628572627,0.0013546933309488251,2015-04-01,2016-03-31,3384
2016-04-04,0.0009554736502056795,0.0006876771669979799,0.0007855302713302459,0.0021420940535184447,0.0007268182769959606,0.0005157468889567216,-0.00043407353506338454,0.0031773419600454045,-0.0005415270539267808,0.0008114022691672765,0.0024883191086840636,0.0002524451787258117,0.0009403381097641785,-0.0005555417842662382,0.0012057621337788137,2015-04-02,2016-04-01,3381
2016-04-05,0.0008946139986212132,0.0006513169068382628,0.0007601262160943574,0.002068793602223094,0.0006560687688422643,0.00043998483146196144,-0.00033165518126638394,0.003144071845537749,-0.00045941434490857273,0.0008315372760174452,0.0025004865841611558,0.00024946775462865206,0.0009755359793175787,-0.0005126838919596486,0.0011975836845241577,2015-04-06,2016-04-04,3384
2016-04-06,0.0009121022989446669,0.0006913152102701973,0.0008502716675106885,0.002047508822776484,0.0006863612687433915,0.00040213729735580144,-0.00035648655635784943,0.003148617911891164,-0.00047500067044836946,0.0008188176308788042,0.002580646830123914,0.00025590187218705294,0.000966348511049957,-0.0005084608259485256,0.0012542856803733418,2015-04-07,2016-04-05,3386
2016-04-07,0.0008518026694922482,0.0006458989956020347,0.0008865825528885244,0.00208267688567359,0.0006756606016411435,0.0004280147700439983,-0.0003805243252051726,0.0031657790192034132,-0.0004312130970000692,0.0008533431638661518,0.002518255907062523,0.00022046413798338947,0.0010049676408867083,-0.0005001067667998107,0.0012633053523520444,2015-04-08,2016-04-06,3381
2016-04-08,0.000839638824738981,0.0006194399122443874,0.000899913130652188,0.002068183156112343,0.0006921636471002315,0.00045770539416105225,-0.00039974652491033084,0.0031963877570158963,-0.00044387826898372384,0.0008435137552446376,0.0025125711424661594,0.00020994253019488714,0.000990309504093195,-0.0004903356406781119,0.001270994623875733,2015-04-09,2016-04-07,3383
2016-04-11,0.000846664011318426,0.0005497335630669342,0.0009336597199719292,0.002081724846118406,0.0007013025031736755,0.0004633694914205576,-0.0004192619668913943,0.003244031379981459,-0.0004485919784943575,0.000866153886794989,0.002548746741492969,0.0002460659320702746,0.0009600944329431816,-0.0004421686853410972,0.0013023630532860942,2015-04-10,2016-04-08,3383
2016-04-12,0.0009020936063707808,0.0004847721282932207,0.0008831290237999342,0.0020549780675003485,0.0007513346277876146,0.0005086313469440312,-0.0005135346272247597,0.0032750576542770315,-0.0004419795018345761,0.0008985547444974872,0.002573864650745158,0.00021264608393679296,0.0009450310350569082,-0.00043688732940856955,0.0012021380995120685,2015-04-13,2016-04-11,3382
2016-04-13,0.000991385150160174,0.0005078210004182613,0.0008860856058183757,0.00205915343136553,0.0007135811249634846,0.00044045159157205085,-0.00040242601149752255,0.003327266473918881,-0.0005000888951584459,0.0008944880432108002,0.002675171304649775,0.00026247751658624074,0.0009238664044715318,-0.00042907097130097946,0.0012722846933082498,2015-04-14,2016-04-12,3380
