date,intercept,train_start,train_end,n_train,liquidity_alpha,size_alpha,signal_2,sentiment_change_alpha,sentiment_exp_decay_alpha,sent_macd_alpha,signal1,signal2,signal3,signal4,signal5,signal6,signal7,signal8
2016-03-31,0.0009444521096351568,2015-03-31,2016-03-30,3379,0.0006111479069802238,0.0007836855599268729,0.0022141346754912038,0.0006217865442019766,0.00044406543628031764,-0.00044377000143647037,0.0031656643313609867,-0.0005990571163985262,0.0007420643122365748,0.002480261839108176,0.00019840200014689972,0.0008666540650965533,-0.0005310402732311633,0.0012278766087058385
2016-04-01,0.0009964408275820434,2015-04-01,2016-03-31,3384,0.000694667089106138,0.000838275562204108,0.0021497115682828187,0.000616136639014796,0.00048535378456794224,-0.00038966664675321743,0.003187816430295757,-0.0005995378689354454,0.0007831431928070281,0.002503522861554896,0.00023200010021961345,0.0008685314038076631,-0.000555784018255963,0.0013523743936127187
2016-04-04,0.0009554736502056797,2015-04-02,2016-04-01,3381,0.0006865635079021666,0.0007835154488216499,0.002141237553173801,0.0007260670077120562,0.0005148271868556226,-0.00043290245313617955,0.0031722207191136166,-0.0005354746363841202,0.0008111147286754629,0.002480836812498372,0.00025249973823629636,0.0009403851138190482,-0.0005551990265978329,0.0012036356058413129
2016-04-05,0.000894613998621213,2015-04-06,2016-04-04,3384,0.0006502403829968427,0.000758169434553005,0.0020679659122586785,0.0006554311083987949,0.0004391613023045611,-0.0003306450983288041,0.0031390461011591253,-0.00045351806969785505,0.0008312352383065246,0.0024931308046281836,0.0002495150384492808,0.0009755614338812787,-0.0005123649346844638,0.0011955088129127732
2016-04-06,0.0009121022989446672,2015-04-07,2016-04-05,3386,0.0006901680814377948,0.000848198239594406,0.0020466918220409603,0.0006856843644492185,0.00040131641702617014,-0.0003554416483077895,0.003143526721459667,-0.00046900059319420693,0.0008185351358872308,0.0025731557927738745,0.00025597125071538803,0.0009663992930612035,-0.0005081536413993501,0.0012520759869242355
2016-04-07,0.0008518026694922485,2015-04-08,2016-04-06,3381,0.0006447575734586405,0.0008844889017547883,0.0020818364742550624,0.0006749792870548898,0.0004271678721086647,-0.00037945464384442606,0.003160763234712379,-0.00042535592605571267,0.0008530361940281523,0.0025109177000609724,0.00022054113610945144,0.001004976404615383,-0.0004997808655521799,0.001261077591066451
2016-04-08,0.0008396388247389809,2015-04-09,2016-04-07,3383,0.0006182968204285076,0.0008978109550462694,0.0020673476307315245,0.0006914663021554521,0.000456837741311071,-0.0003986514860696476,0.003191354882288704,-0.0004380022453223264,0.0008432110412470667,0.0025052133966167057,0.00021003047645166512,0.0009903242627711756,-0.0004900170959961268,0.0012687516956827198
2016-04-11,0.0008466640113184259,2015-04-10,2016-04-08,3383,0.000548605309661069,0.0009315119669655744,0.002080885771825629,0.0007005944295912296,0.0004624918176786746,-0.0004181543533170011,0.0032389424655069553,-0.0004426387712722838,0.0008658421831310794,0.002541293322495848,0.0002461354352105345,0.000960125786042857,-0.0004418830927852991,0.001300075816455366
2016-04-12,0.0009020936063707806,2015-04-13,2016-04-11,3382,0.0004837010175463744,0.0008810989771396068,0.0020541548430473306,0.0007505521792108798,0.0005076812647509191,-0.0005123064255355462,0.0032699483117640967,-0.000435992397833008,0.0008982097322530813,0.0025663712824226994,0.00021273262562743452,0.0009450438289794598,-0.00043661418440124047,0.0011999895872276056
2016-04-13,0.0009913851501601747,2015-04-14,2016-04-12,3380,0.0005067031722308972,0.0008839778377239726,0.0020583297684560885,0.0007128762568288754,0.0004395772033539399,-0.00040132297497220287,0.003322013780845147,-0.0004938780592521981,0.0008941640492532257,0.002667394511810702,0.0002625665640298046,0.0009239067054407677,-0.00042880811029047167,0.0012700347881847136
